Age,Language,Sex,Marital,Has-Credit,Field,Month-of-birth,Day-of-birth,Region,Number_of_credits,Linked-cards,INPS_mln_sum,INPS-yes-no,Score-level,Score-class,Score_point,Changed-phone-number,class-label
0,1,1,6,1,3,9,1,11,2,4,3,0,4,2,71,2,1
0,2,1,5,2,0,6,2,10,2,1,3,0,0,2,26,3,1
0,1,0,1,2,5,6,1,3,2,1,1,1,2,4,80,2,1
0,1,0,2,1,10,11,1,1,2,2,1,1,0,7,39,2,1
0,2,0,4,1,6,9,2,3,2,2,2,1,0,4,41,3,0
1,1,0,6,1,18,5,1,0,2,4,3,1,3,4,82,0,1
1,2,1,2,2,3,8,2,8,2,4,1,0,1,7,110,3,1
1,2,1,6,1,7,1,1,6,2,4,2,0,3,0,21,3,0
1,1,1,3,1,14,6,2,13,2,1,2,0,1,7,21,0,0
1,1,0,5,1,8,12,2,13,2,1,2,1,3,9,29,0,1
1,2,1,1,1,11,2,1,5,2,2,3,1,4,7,84,3,0
0,2,0,4,2,1,5,2,10,2,3,3,1,4,5,45,1,1
0,2,0,1,1,20,12,2,6,2,4,2,1,1,6,84,1,0
1,2,0,5,1,4,8,1,9,2,2,2,0,3,4,40,0,0
1,1,0,7,2,5,3,1,14,2,3,3,0,2,11,16,3,1
0,2,0,5,2,15,11,1,7,2,4,2,1,4,0,88,0,1
1,1,1,2,1,8,8,2,7,1,4,2,0,2,6,77,3,0
0,2,1,2,1,3,12,1,7,2,4,2,1,1,0,39,1,1
1,2,0,4,2,10,3,1,6,2,1,2,0,1,2,84,3,1
0,1,0,7,2,14,3,1,6,2,0,2,1,0,10,41,0,0
1,1,0,7,1,15,1,1,13,2,4,2,0,3,4,105,0,1
0,1,1,2,2,19,3,1,4,2,3,2,0,2,8,58,2,1
1,2,1,7,2,6,9,2,10,2,0,1,1,1,2,27,2,1
1,1,1,7,1,3,12,1,1,2,3,1,0,1,6,-8,0,0
0,1,0,4,1,18,8,1,12,2,3,2,1,2,5,68,3,1
0,1,1,4,1,6,6,2,5,2,0,2,1,4,10,62,3,1
1,1,0,3,2,17,6,2,5,2,4,2,1,1,4,128,0,0
0,1,0,2,1,4,5,2,13,2,3,3,1,3,5,125,0,0
0,1,0,6,1,4,11,2,1,2,4,2,0,4,0,11,0,0
0,2,1,7,2,21,6,1,13,2,3,2,0,3,7,60,3,1
1,2,1,6,1,16,8,2,11,2,1,1,1,0,4,66,0,1
1,2,0,7,1,12,5,2,13,2,2,2,0,4,10,97,0,1
1,1,1,3,1,0,12,2,6,2,1,1,1,4,6,47,2,1
1,1,0,4,2,11,2,1,12,2,4,3,1,1,3,86,3,0
1,1,1,4,1,7,2,1,11,2,3,1,0,2,7,37,0,1
1,1,1,4,1,1,10,2,7,2,2,2,0,0,8,31,1,0
0,2,0,1,1,16,1,2,12,2,0,2,1,4,5,45,1,1
1,1,0,3,1,13,12,1,7,2,4,2,0,3,9,29,0,0
1,1,0,4,2,12,7,2,12,2,2,3,1,3,0,81,0,1
1,1,1,3,1,16,10,1,13,1,2,2,1,1,4,182,0,1
1,1,0,5,1,22,4,2,10,2,3,0,1,0,0,41,1,1
1,1,1,5,1,12,2,2,10,1,4,2,1,1,10,89,0,0
1,2,1,2,2,8,10,1,12,1,0,3,0,0,2,104,2,1
1,1,1,5,1,15,2,2,0,2,4,0,1,3,7,115,3,1
