PAYMENT-DAY,QUANT-ADDITIONAL-CARDS,POSTAL-ADDRESS-TYPE,SEX,MARITAL-STATUS,QUANT-DEPENDANTS,EDUCATION-LEVEL,FLAG-RESIDENCIAL-PHONE,RESIDENCE-TYPE,MONTHS-IN-RESIDENCE,FLAG-MOBILE-PHONE,FLAG-EMAIL,PERSONAL-MONTHLY-INCOME,OTHER-INCOMES,FLAG-VISA,FLAG-MASTERCARD,FLAG-DINERS,FLAG-AMERICAN-EXPRESS,FLAG-OTHER-CARDS,QUANT-BANKING-ACCOUNTS,QUANT-SPECIAL-BANKING-ACCOUNTS,PERSONAL-ASSETS-VALUE,QUANT-CARS,COMPANY,FLAG-PROFESSIONAL-PHONE,MONTHS-IN-THE-JOB,OCCUPATION-TYPE,FLAG-HOME-ADDRESS-DOCUMENT,FLAG-RG,FLAG-CPF,FLAG-INCOME-PROOF,PRODUCT,FLAG-ACSP-RECORD,AGE,class-label
10,0,1,0,7,1,0,Y,1.0,9,N,1,-1890,311,0,0,0,0,0,0,1,1904,1,Y,Y,0,2.0,0,0,0,0,2,N,1,1
10,0,2,1,4,1,0,Y,1.0,14,N,0,69,-495,0,0,0,0,0,1,1,2277,1,Y,N,1,2.0,0,0,0,0,1,N,1,1
25,0,2,0,2,2,0,Y,1.0,14,N,1,1788,-84,0,0,0,0,0,1,0,-9190,1,Y,N,0,2.0,0,0,0,0,2,N,1,0
10,0,1,1,2,1,0,Y,4.0,6,N,1,-173,-10,0,0,0,0,0,0,0,1565,1,Y,Y,1,5.0,0,0,0,0,1,N,1,0
15,0,1,0,1,0,0,Y,1.0,9,N,0,-1383,395,0,0,0,0,0,0,1,-394,1,N,Y,0,5.0,0,0,0,0,1,N,1,0
10,0,1,0,2,1,0,Y,2.0,8,N,1,-1827,-470,0,0,0,0,0,0,0,-619,1,Y,N,0,2.0,0,0,0,0,1,N,1,1
15,0,1,1,2,1,0,Y,1.0,11,N,0,-620,46,0,0,0,0,0,1,0,6976,1,N,N,1,4.0,0,0,0,0,1,N,1,0
20,0,1,0,0,0,0,N,3.0,15,N,1,-2658,49,0,0,1,0,0,1,0,1908,1,N,N,1,4.0,0,0,0,0,1,N,0,1
15,0,1,0,2,1,0,Y,1.0,17,N,0,-4250,-69,0,0,0,0,0,1,0,6377,1,N,Y,0,0.0,0,0,0,0,1,N,1,0
20,0,2,1,1,2,0,Y,1.0,17,N,1,4222,-585,0,1,1,0,0,0,0,2716,1,Y,N,0,2.0,0,0,0,0,7,N,0,1
15,0,1,0,2,0,0,N,1.0,16,N,1,2644,-18,0,0,0,0,0,0,0,1246,1,Y,N,1,4.0,0,0,0,0,1,N,1,1
10,0,1,0,3,3,0,Y,1.0,4,N,0,293,-171,0,0,0,0,0,0,1,-7694,1,Y,Y,1,5.0,0,0,0,0,1,N,1,0
25,0,1,1,6,1,0,N,1.0,9,N,1,-557,-219,1,0,0,0,0,1,0,6853,1,N,N,1,1.0,0,0,0,0,1,N,1,0
